datapoints	percentage	call	xmin	xmax	xmean	bmin	bmax	bmean
200	22.50	xtal-xtal	4.48	15.34	5.94	-18.66	-11.22	-13.68
200	50.00	bio-bio	4.48	15.34	5.94	-18.66	-11.22	-13.68
200	27.50	xtal-bio	4.48	15.34	5.94	-18.66	-11.22	-13.68
200	0.00	bio-xtal	4.48	15.34	5.94	-18.66	-11.22	-13.68
200	72.50	same	4.48	15.34	5.94	-18.66	-11.22	-13.68
200	27.50	different	4.48	15.34	5.94	-18.66	-11.22	-13.68
400	30.50	xtal-xtal	3.71	15.34	4.99	-18.66	-9.91	-12.05
400	49.50	bio-bio	3.71	15.34	4.99	-18.66	-9.91	-12.05
400	19.50	xtal-bio	3.71	15.34	4.99	-18.66	-9.91	-12.05
400	0.50	bio-xtal	3.71	15.34	4.99	-18.66	-9.91	-12.05
400	80.00	same	3.71	15.34	4.99	-18.66	-9.91	-12.05
400	20.00	different	3.71	15.34	4.99	-18.66	-9.91	-12.05
600	34.17	xtal-xtal	3.26	15.34	4.48	-18.66	-9.28	-11.22
600	49.67	bio-bio	3.26	15.34	4.48	-18.66	-9.28	-11.22
600	15.83	xtal-bio	3.26	15.34	4.48	-18.66	-9.28	-11.22
600	0.33	bio-xtal	3.26	15.34	4.48	-18.66	-9.28	-11.22
600	83.83	same	3.26	15.34	4.48	-18.66	-9.28	-11.22
600	16.17	different	3.26	15.34	4.48	-18.66	-9.28	-11.22
800	35.62	xtal-xtal	3.07	15.34	4.15	-18.66	-8.82	-10.68
800	49.38	bio-bio	3.07	15.34	4.15	-18.66	-8.82	-10.68
800	14.37	xtal-bio	3.07	15.34	4.15	-18.66	-8.82	-10.68
800	0.62	bio-xtal	3.07	15.34	4.15	-18.66	-8.82	-10.68
800	85.00	same	3.07	15.34	4.15	-18.66	-8.82	-10.68
800	15.00	different	3.07	15.34	4.15	-18.66	-8.82	-10.68
1000	36.80	xtal-xtal	2.94	15.34	3.92	-18.66	-8.44	-10.27
1000	49.20	bio-bio	2.94	15.34	3.92	-18.66	-8.44	-10.27
1000	13.20	xtal-bio	2.94	15.34	3.92	-18.66	-8.44	-10.27
1000	0.80	bio-xtal	2.94	15.34	3.92	-18.66	-8.44	-10.27
1000	86.00	same	2.94	15.34	3.92	-18.66	-8.44	-10.27
1000	14.00	different	2.94	15.34	3.92	-18.66	-8.44	-10.27
1200	37.25	xtal-xtal	2.83	15.34	3.75	-18.66	-8.17	-9.94
1200	49.08	bio-bio	2.83	15.34	3.75	-18.66	-8.17	-9.94
1200	12.75	xtal-bio	2.83	15.34	3.75	-18.66	-8.17	-9.94
