datapoints	percentage	call	xmin	xmax	xmean	bmin	bmax	bmean
200	25.50	xtal-xtal	4.39	11.89	5.27	-18.66	-11.22	-13.68
200	50.00	bio-bio	4.39	11.89	5.27	-18.66	-11.22	-13.68
200	24.50	xtal-bio	4.39	11.89	5.27	-18.66	-11.22	-13.68
200	0.00	bio-xtal	4.39	11.89	5.27	-18.66	-11.22	-13.68
200	75.50	same	4.39	11.89	5.27	-18.66	-11.22	-13.68
200	24.50	different	4.39	11.89	5.27	-18.66	-11.22	-13.68
400	41.00	xtal-xtal	3.66	4.38	3.96	-11.21	-9.91	-10.41
400	49.00	bio-bio	3.66	4.38	3.96	-11.21	-9.91	-10.41
400	9.00	xtal-bio	3.66	4.38	3.96	-11.21	-9.91	-10.41
400	1.00	bio-xtal	3.66	4.38	3.96	-11.21	-9.91	-10.41
400	90.00	same	3.66	4.38	3.96	-11.21	-9.91	-10.41
400	10.00	different	3.66	4.38	3.96	-11.21	-9.91	-10.41
600	39.50	xtal-xtal	3.24	3.66	3.42	-9.91	-9.28	-9.56
600	50.00	bio-bio	3.24	3.66	3.42	-9.91	-9.28	-9.56
600	10.50	xtal-bio	3.24	3.66	3.42	-9.91	-9.28	-9.56
600	0.00	bio-xtal	3.24	3.66	3.42	-9.91	-9.28	-9.56
600	89.50	same	3.24	3.66	3.42	-9.91	-9.28	-9.56
600	10.50	different	3.24	3.66	3.42	-9.91	-9.28	-9.56
800	43.00	xtal-xtal	3.05	3.24	3.14	-9.28	-8.82	-9.06
800	48.50	bio-bio	3.05	3.24	3.14	-9.28	-8.82	-9.06
800	7.00	xtal-bio	3.05	3.24	3.14	-9.28	-8.82	-9.06
800	1.50	bio-xtal	3.05	3.24	3.14	-9.28	-8.82	-9.06
800	91.50	same	3.05	3.24	3.14	-9.28	-8.82	-9.06
800	8.50	different	3.05	3.24	3.14	-9.28	-8.82	-9.06
1000	41.00	xtal-xtal	2.92	3.05	2.98	-8.81	-8.44	-8.62
1000	49.50	bio-bio	2.92	3.05	2.98	-8.81	-8.44	-8.62
1000	9.00	xtal-bio	2.92	3.05	2.98	-8.81	-8.44	-8.62
1000	0.50	bio-xtal	2.92	3.05	2.98	-8.81	-8.44	-8.62
1000	90.50	same	2.92	3.05	2.98	-8.81	-8.44	-8.62
1000	9.50	different	2.92	3.05	2.98	-8.81	-8.44	-8.62
1200	39.50	xtal-xtal	2.81	2.92	2.86	-8.44	-8.16	-8.30
1200	48.50	bio-bio	2.81	2.92	2.86	-8.44	-8.16	-8.30
1200	10.50	xtal-bio	2.81	2.92	2.86	-8.44	-8.16	-8.30
1200	1.50	bio-xtal	2.81	2.92	2.86	-8.44	-8.16	-8.30
1200	88.00	same	2.81	2.92	2.86	-8.44	-8.16	-8.30
1200	12.00	different	2.81	2.92	2.86	-8.44	-8.16	-8.30
1400	45.00	xtal-xtal	2.71	2.81	2.76	-8.16	-7.87	-8.01
1400	48.00	bio-bio	2.71	2.81	2.76	-8.16	-7.87	-8.01
