datapoints	percentage	call	xmin	xmax	xmean	bmin	bmax	bmean
2400	90.29	same	2.37	11.89	3.09	-18.66	-6.91	-8.67
2400	9.71	different	2.37	11.89	3.09	-18.66	-6.91	-8.67
2600	41.35	xtal-xtal	2.33	11.89	3.03	-18.66	-6.81	-8.53
2600	49.23	bio-bio	2.33	11.89	3.03	-18.66	-6.81	-8.53
2600	8.65	xtal-bio	2.33	11.89	3.03	-18.66	-6.81	-8.53
2600	0.77	bio-xtal	2.33	11.89	3.03	-18.66	-6.81	-8.53
2600	90.58	same	2.33	11.89	3.03	-18.66	-6.81	-8.53
2600	9.42	different	2.33	11.89	3.03	-18.66	-6.81	-8.53
2800	41.50	xtal-xtal	2.28	11.89	2.98	-18.66	-6.67	-8.40
2800	49.25	bio-bio	2.28	11.89	2.98	-18.66	-6.67	-8.40
2800	8.50	xtal-bio	2.28	11.89	2.98	-18.66	-6.67	-8.40
2800	0.75	bio-xtal	2.28	11.89	2.98	-18.66	-6.67	-8.40
2800	90.75	same	2.28	11.89	2.98	-18.66	-6.67	-8.40
2800	9.25	different	2.28	11.89	2.98	-18.66	-6.67	-8.40
3000	41.57	xtal-xtal	2.22	11.89	2.93	-18.66	-6.53	-8.28
3000	49.20	bio-bio	2.22	11.89	2.93	-18.66	-6.53	-8.28
3000	8.43	xtal-bio	2.22	11.89	2.93	-18.66	-6.53	-8.28
3000	0.80	bio-xtal	2.22	11.89	2.93	-18.66	-6.53	-8.28
3000	90.77	same	2.22	11.89	2.93	-18.66	-6.53	-8.28
3000	9.23	different	2.22	11.89	2.93	-18.66	-6.53	-8.28
3200	41.69	xtal-xtal	2.18	11.89	2.88	-18.66	-6.39	-8.17
3200	49.16	bio-bio	2.18	11.89	2.88	-18.66	-6.39	-8.17
3200	8.31	xtal-bio	2.18	11.89	2.88	-18.66	-6.39	-8.17
3200	0.84	bio-xtal	2.18	11.89	2.88	-18.66	-6.39	-8.17
3200	90.84	same	2.18	11.89	2.88	-18.66	-6.39	-8.17
3200	9.16	different	2.18	11.89	2.88	-18.66	-6.39	-8.17
3400	41.71	xtal-xtal	2.13	11.89	2.84	-18.66	-6.26	-8.06
3400	49.15	bio-bio	2.13	11.89	2.84	-18.66	-6.26	-8.06
3400	8.29	xtal-bio	2.13	11.89	2.84	-18.66	-6.26	-8.06
3400	0.85	bio-xtal	2.13	11.89	2.84	-18.66	-6.26	-8.06
3400	90.85	same	2.13	11.89	2.84	-18.66	-6.26	-8.06
3400	9.15	different	2.13	11.89	2.84	-18.66	-6.26	-8.06
3600	41.89	xtal-xtal	2.10	11.89	2.80	-18.66	-6.14	-7.96
3600	49.11	bio-bio	2.10	11.89	2.80	-18.66	-6.14	-7.96
3600	8.11	xtal-bio	2.10	11.89	2.80	-18.66	-6.14	-7.96
3600	0.89	bio-xtal	2.10	11.89	2.80	-18.66	-6.14	-7.96
3600	91.00	same	2.10	11.89	2.80	-18.66	-6.14	-7.96
3600	9.00	different	2.10	11.89	2.80	-18.66	-6.14	-7.96
3800	41.84	xtal-xtal	2.06	11.89	2.76	-18.66	-6.03	-7.86
3800	49.08	bio-bio	2.06	11.89	2.76	-18.66	-6.03	-7.86
3800	8.16	xtal-bio	2.06	11.89	2.76	-18.66	-6.03	-7.86
3800	0.92	bio-xtal	2.06	11.89	2.76	-18.66	-6.03	-7.86
3800	90.92	same	2.06	11.89	2.76	-18.66	-6.03	-7.86
3800	9.08	different	2.06	11.89	2.76	-18.66	-6.03	-7.86
4000	42.00	xtal-xtal	2.02	11.89	2.73	-18.66	-5.92	-7.77
4000	49.00	bio-bio	2.02	11.89	2.73	-18.66	-5.92	-7.77
4000	8.00	xtal-bio	2.02	11.89	2.73	-18.66	-5.92	-7.77
4000	1.00	bio-xtal	2.02	11.89	2.73	-18.66	-5.92	-7.77
4000	91.00	same	2.02	11.89	2.73	-18.66	-5.92	-7.77
4000	9.00	different	2.02	11.89	2.73	-18.66	-5.92	-7.77
4200	42.24	xtal-xtal	1.98	11.89	2.69	-18.66	-5.82	-7.67
4200	49.00	bio-bio	1.98	11.89	2.69	-18.66	-5.82	-7.67
4200	7.76	xtal-bio	1.98	11.89	2.69	-18.66	-5.82	-7.67
4200	1.00	bio-xtal	1.98	11.89	2.69	-18.66	-5.82	-7.67
4200	91.24	same	1.98	11.89	2.69	-18.66	-5.82	-7.67
4200	8.76	different	1.98	11.89	2.69	-18.66	-5.82	-7.67
4400	42.34	xtal-xtal	1.95	11.89	2.66	-18.66	-5.74	-7.59
4400	48.95	bio-bio	1.95	11.89	2.66	-18.66	-5.74	-7.59
4400	7.66	xtal-bio	1.95	11.89	2.66	-18.66	-5.74	-7.59
4400	1.05	bio-xtal	1.95	11.89	2.66	-18.66	-5.74	-7.59
4400	91.30	same	1.95	11.89	2.66	-18.66	-5.74	-7.59
4400	8.70	different	1.95	11.89	2.66	-18.66	-5.74	-7.59
4600	42.39	xtal-xtal	1.91	11.89	2.63	-18.66	-5.67	-7.51
4600	48.96	bio-bio	1.91	11.89	2.63	-18.66	-5.67	-7.51
4600	7.61	xtal-bio	1.91	11.89	2.63	-18.66	-5.67	-7.51
4600	1.04	bio-xtal	1.91	11.89	2.63	-18.66	-5.67	-7.51
4600	91.35	same	1.91	11.89	2.63	-18.66	-5.67	-7.51
4600	8.65	different	1.91	11.89	2.63	-18.66	-5.67	-7.51
4800	42.42	xtal-xtal	1.87	11.89	2.60	-18.66	-5.59	-7.43
4800	48.92	bio-bio	1.87	11.89	2.60	-18.66	-5.59	-7.43
4800	7.58	xtal-bio	1.87	11.89	2.60	-18.66	-5.59	-7.43
4800	1.08	bio-xtal	1.87	11.89	2.60	-18.66	-5.59	-7.43
