2 1 2.2360679775 1.875 0.3610679775
3 1 3.16227766017 2.375 0.787277660168
3 2 3.60555127546 3.25 0.355551275464
4 1 4.12310562562 2.875 1.24810562562
4 2 4.472135955 3.75 0.722135955
4 3 5.0 4.625 0.375
5 1 5.09901951359 3.375 1.72401951359
5 2 5.38516480713 4.25 1.13516480713
5 3 5.83095189485 5.125 0.705951894845
5 4 6.40312423743 6.0 0.403124237433
6 1 6.0827625303 3.875 2.2077625303
6 2 6.32455532034 4.75 1.57455532034
6 3 6.7082039325 5.625 1.0832039325
6 4 7.21110255093 6.5 0.711102550928
6 5 7.81024967591 7.375 0.435249675907
7 1 7.07106781187 4.375 2.69606781187
7 2 7.28010988928 5.25 2.03010988928
7 3 7.61577310586 6.125 1.49077310586
7 4 8.0622577483 7.0 1.0622577483
7 5 8.60232526704 7.875 0.727325267043
7 6 9.21954445729 8.75 0.469544457293
8 1 8.0622577483 4.875 3.1872577483
8 2 8.24621125124 5.75 2.49621125124
8 3 8.54400374532 6.625 1.91900374532
8 4 8.94427191 7.5 1.44427191
8 5 9.43398113206 8.375 1.05898113206
8 6 10.0 9.25 0.75
8 7 10.6301458127 10.125 0.505145812735
9 1 9.05538513814 5.375 3.68038513814
9 2 9.21954445729 6.25 2.96954445729
9 3 9.48683298051 7.125 2.36183298051
9 4 9.8488578018 8.0 1.8488578018
9 5 10.295630141 8.875 1.42063014099
9 6 10.8166538264 9.75 1.06665382639
9 7 11.401754251 10.625 0.776754250991
9 8 12.0415945788 11.5 0.541594578792
10 1 10.0498756211 5.875 4.17487562112
10 2 10.1980390272 6.75 3.44803902719
10 3 10.4403065089 7.625 2.81530650891
10 4 10.7703296143 8.5 2.27032961427
10 5 11.1803398875 9.375 1.8053398875
10 6 11.6619037897 10.25 1.41190378969
10 7 12.2065556157 11.125 1.08155561573
10 8 12.8062484749 12.0 0.806248474866
10 9 13.4536240471 12.875 0.578624047074
11 1 11.0453610172 6.375 4.67036101719
11 2 11.1803398875 7.25 3.9303398875
11 3 11.401754251 8.125 3.27675425099
11 4 11.7046999107 9.0 2.70469991072
11 5 12.0830459736 9.875 2.20804597359
11 6 12.5299640861 10.75 1.77996408614
11 7 13.0384048104 11.625 1.41340481041
11 8 13.6014705087 12.5 1.10147050874
11 9 14.2126704036 13.375 0.837670403552
11 10 14.8660687473 14.25 0.616068747319
12 1 12.0415945788 6.875 5.16659457879
12 2 12.1655250606 7.75 4.4155250606
12 3 12.3693168769 8.625 3.74431687685
12 4 12.6491106407 9.5 3.14911064067
12 5 13.0 10.375 2.625
12 6 13.416407865 11.25 2.166407865
12 7 13.8924439894 12.125 1.76744398945
12 8 14.4222051019 13.0 1.42220510186
12 9 15.0 13.875 1.125
12 10 15.6204993518 14.75 0.870499351813
12 11 16.2788205961 15.625 0.6538205961
13 1 13.0384048104 7.375 5.66340481041
13 2 13.152946438 8.25 4.90294643797
13 3 13.3416640641 9.125 4.21666406413
13 4 13.6014705087 10.0 3.60147050874
13 5 13.9283882772 10.875 3.05338827718
13 6 14.3178210633 11.75 2.56782106328
13 7 14.7648230602 12.625 2.13982306023
13 8 15.2643375225 13.5 1.76433752247
13 9 15.8113883008 14.375 1.43638830084
13 10 16.4012194669 15.25 1.15121946686
13 11 17.0293863659 16.125 0.904386365926
13 12 17.691806013 17.0 0.691806012954
14 1 14.0356688476 7.875 6.16066884762
14 2 14.1421356237 8.75 5.39213562373
14 3 14.3178210633 9.625 4.69282106328
14 4 14.5602197786 10.5 4.06021977856
14 5 14.8660687473 11.375 3.49106874732
14 6 15.2315462117 12.25 2.98154621173
14 7 15.6524758425 13.125 2.5274758425
14 8 16.1245154966 14.0 2.1245154966
14 9 16.6433169771 14.875 1.76831697709
14 10 17.2046505341 15.75 1.45465053409
14 11 17.8044938148 16.625 1.17949381476
14 12 18.4390889146 17.5 0.939088914586
14 13 19.1049731745 18.375 0.729973174543
15 1 15.0332963784 8.375 6.65829637837
15 2 15.1327459504 9.25 5.88274595042
15 3 15.2970585408 10.125 5.17205854078
15 4 15.5241746963 11.0 4.52417469626
15 5 15.8113883008 11.875 3.93638830084
15 6 16.1554944214 12.75 3.4054944214
15 7 16.5529453572 13.625 2.92794535725
15 8 17.0 14.5 2.5
15 9 17.4928556845 15.375 2.11785568454
15 10 18.0277563773 16.25 1.77775637732
15 11 18.6010752377 17.125 1.47607523774
15 12 19.2093727123 18.0 1.2093727123
15 13 19.8494332413 18.875 0.974433241279
15 14 20.5182845287 19.75 0.768284528683
16 1 16.0312195419 8.875 7.15621954188
16 2 16.1245154966 9.75 6.3745154966
16 3 16.2788205961 10.625 5.6538205961
16 4 16.4924225025 11.5 4.99242250247
16 5 16.7630546142 12.375 4.38805461424
16 6 17.0880074906 13.25 3.83800749064
16 7 17.4642491966 14.125 3.33924919657
16 8 17.88854382 15.0 2.88854382
16 9 18.3575597507 15.875 2.48255975069
16 10 18.8679622641 16.75 2.11796226411
16 11 19.4164878389 17.625 1.79148783895
16 12 20.0 18.5 1.5
16 13 20.6155281281 19.375 1.24052812809
16 14 21.2602916255 20.25 1.01029162547
16 15 21.9317121995 21.125 0.806712199461
17 1 17.0293863659 9.375 7.65438636593
17 2 17.1172427686 10.25 6.86724276862
17 3 17.2626765016 11.125 6.13767650163
17 4 17.4642491966 12.0 5.46424919657
17 5 17.7200451467 12.875 4.84504514667
17 6 18.0277563773 13.75 4.27775637732
17 7 18.3847763109 14.625 3.75977631085
17 8 18.7882942281 15.5 3.28829422806
17 9 19.2353840617 16.375 2.86038406167
